gene id,gene name,mcf7_sicbx2_3_rep1,mcf7_sicbx2_3_rep2,mcf7_sicbx2_3_rep3,mcf7_siscr_rep1,mcf7_siscr_rep2,mcf7_siscr_rep3
ENSG00000000460.17,C1orf112,4.86484,3.76525,6.909416186,10.7743198,9.559522,9.7950516
ENSG00000001461.17,NIPAL3,4.3498129,4.6830066,7.0668759,8.0541107,7.4196885,7.091946
ENSG00000001497.16,LAS1L,21.239638,22.869345,21.838818,29.685883,28.230729,28.48364
ENSG00000001617.12,SEMA3F,27.9707153,32.361174,48.245653,47.57355,52.666296,50.331216
ENSG00000002330.13,BAD,60.872755,57.468509,89.587181,89.633223,105.29752,88.922745
ENSG00000002549.12,LAP3,92.2708822,97.2259223,206.04947,51.2205416,44.881715,78.496515
ENSG00000002834.18,LASP1,74.464441,81.844938,81.463441,131.476414,117.987829,112.0447903
ENSG00000003096.14,KLHL13,0.975967248,0.735622,0.645526111,1.146017,1.208149747,1.291297
ENSG00000003147.19,ICA1,98.532347,105.653429,94.291318,42.4525438,44.89042846,50.361219
ENSG00000003436.16,TFPI,10.598375,10.388587,7.03457,3.649087,3.877230003,3.707651
ENSG00000003987.14,MTMR7,1.42263,1.7794186,1.093791,2.7547919,3.231477,2.4124193
ENSG00000004399.12,PLXND1,13.992711,12.83825319,21.342318,20.60535,24.114712,28.897624
ENSG00000004455.16,AK2,79.3808184,76.8204272,96.636206,121.3910282,129.460088,130.623765
ENSG00000004700.16,RECQL,11.959156,9.256174,8.748159,16.446264,16.722213,13.829404
ENSG00000004777.18,ARHGAP33,22.66062,18.569911,25.194262,12.531634,13.436615,10.682074
ENSG00000004838.14,ZMYND10,7.9322742,7.461003,6.406869,0.470317,0.2114602,0.047412266
ENSG00000004848.8,ARX,5.61509,8.293635,3.12466,1.432,1.35151,1.43803
ENSG00000004975.12,DVL2,25.106194,27.811801,40.957431,13.06097,13.228573,13.6965471
ENSG00000005022.6,SLC25A5,381.91885,386.05001,319.3248,580.383898,609.29343,501.25108
ENSG00000005059.16,MCUB,26.165313,23.926698,30.961043,35.055751,42.954101,36.242762
ENSG00000005100.13,DHX33,3.3911674,3.757249003,3.8351674,9.8350122,10.704515,9.175917
ENSG00000005108.16,THSD7A,0.058035944,0.067939647,0.064274216,0,0,0
ENSG00000005189.19,REXO5,4.495127,4.2305059,4.194942,8.435006,11.3851546,9.777406
ENSG00000005206.17,SPPL2B,59.952772,73.00062,96.29891,39.724593,37.5126903,47.126467
ENSG00000005238.19,FAM214B,3.5870414,4.1799417,6.7010126,8.0988887,7.1966304,11.24277812
ENSG00000005243.10,COPZ2,5.062609,4.834448,6.629328,0.4438765,2.096113,1.2686601
ENSG00000005436.13,GCFC2,10.231928,12.345266,8.2076637,12.446372,17.0048531,15.070207
ENSG00000005469.11,CROT,21.292749,19.821075,16.357555,29.393473,27.610541,25.679759
ENSG00000005513.10,SOX8,0.4161164,0.481823,0.5342504,0.787156,0.767154,0.981225
ENSG00000006047.13,YBX2,3.706824,2.799032,4.388637,17.110034,21.524678,18.795472
ENSG00000006118.14,TMEM132A,360.185774,373.244673,603.923854,203.4579,200.003673,337.22473
ENSG00000006283.18,CACNA1G,0.08669738,0.054555557,0.461394171,1.40237344,1.408796992,2.045967084
ENSG00000006327.13,TNFRSF12A,499.03699,572.64979,443.497606,232.364024,230.23307,195.55099
ENSG00000006625.18,GGCT,169.570554,145.140376,128.1598,223.41166,238.795701,213.09295
ENSG00000006634.8,DBF4,26.472292,25.521708,18.432237,61.98349,57.451338,42.177236
ENSG00000006695.11,COX10,11.08651,11.842516,12.99541,21.2928,21.1901,18.53824
ENSG00000006712.15,PAF1,82.029667,97.335614,101.020056,46.741493,48.731324,50.807581
ENSG00000006756.16,ARSD,70.615453,75.401157,52.449267,28.3933583,28.147801,29.333439
ENSG00000006757.12,PNPLA4,10.75429,9.318371,11.9089675,6.306509,5.098054,4.962922
ENSG00000007047.15,MARK4,23.8534,22.9728453,49.5774284,18.923303,14.446432,20.148396
ENSG00000007062.11,PROM1,1.151198,1.070196,0.841639,0.0840593,0.08025762,0.2157429
ENSG00000007264.15,MATK,9.270828,9.429982,9.969237,13.904659,18.109339,16.186736
ENSG00000007541.16,PIGQ,99.244672,107.224912,129.924795,40.701052,50.305507,53.704321
ENSG00000007968.7,E2F2,0.519789,0.387949,0.483528,1.55685,2.1124017,1.48884
ENSG00000008277.14,ADAM22,5.6636911,5.006141,4.328162,1.9975563,2.868636,2.0363536
ENSG00000008282.8,SYPL1,118.033656,120.80788,99.136181,156.942232,155.243494,142.486189
ENSG00000008300.17,CELSR3,5.345644,6.162735,7.12024,2.661802,3.395245,2.76316
ENSG00000008311.15,AASS,1.552869,2.5368698,0.60089804,0.1777804,0.2314104,0.1789159
ENSG00000008323.15,PLEKHG6,7.55604,9.061126,16.704579,20.305163,20.2795405,22.992805
ENSG00000008513.16,ST3GAL1,34.446243,39.518055,40.135568,54.635827,40.909867,54.909011
ENSG00000008735.14,MAPK8IP2,6.94431,5.85154,18.0329805,1.75016,1.5692,3.21032
ENSG00000008838.20,MED24,21.0257172,17.99912,29.278448,21.6327453,25.748384,43.7585262
ENSG00000008988.9,RPS20,1428.641959,1353.925047,1240.09314,1882.144194,1897.937527,1988.923138
ENSG00000009335.18,UBE3C,43.0850714,39.027323,37.127105,97.081925,89.369868,86.252499
ENSG00000009765.14,IYD,1.0801039,2.62593,2.2610239,0.2948886,0.5682895,0.2186663
ENSG00000009830.11,POMT2,71.911903,106.523285,52.273691,21.933205,23.636486,23.339708
ENSG00000010278.14,CD9,294.814614,282.993343,205.2557186,620.0158632,586.801518,451.7466813
ENSG00000010292.13,NCAPD2,35.588596,34.475337,26.103545,48.2440905,46.954158,42.229456
ENSG00000010322.16,NISCH,26.081362,29.075908,39.522232,12.771378,11.370849,14.091787
ENSG00000010539.11,ZNF200,11.2581179,11.9668954,13.780702,6.53818261,5.846149,7.5295279
ENSG00000010626.15,LRRC23,10.471771,12.180492,9.652903,1.453916,2.1773707,1.285601
ENSG00000010803.16,SCMH1,3.316206,3.8849774,6.151427409,6.84951,6.821991,6.424182
ENSG00000010810.17,FYN,10.754636,13.1002383,21.828226,3.72164229,4.0179013,7.495701931
ENSG00000010932.17,FMO1,0.552477353,1.43592597,1.554855293,0.022145406,0,0.14528
ENSG00000011009.11,LYPLA2,100.291528,120.089947,145.384868,60.477477,69.262905,75.785735
ENSG00000011028.14,AC080038.1,32.553386,36.058958,36.786103,5.150102,5.820934,9.449384
ENSG00000011052.21,NME1-NME2,12.9758,11.4695,7.87765,18.5906,19.6318,20.347
ENSG00000011332.19,DPF1,1.3162604,1.421042,3.35128834,3.436892,3.7633502,2.934708302
ENSG00000011426.11,ANLN,5.180116,3.9263099,2.543724981,46.424094,47.1980761,33.890458
ENSG00000011590.14,ZBTB32,1.3146598,3.932269,1.238361,0.533811,0.2610027,0.453727
ENSG00000012048.22,BRCA1,8.8164962,6.0117029,5.378853163,11.24949028,9.533545871,10.15873382
ENSG00000012061.15,ERCC1,32.936752,36.452458,38.469252,19.689198,20.222227,20.956876
ENSG00000012171.19,SEMA3B,10.88650111,11.174184,15.980427,23.132032,28.448148,27.567984
ENSG00000012822.16,CALCOCO1,27.1011167,38.2889331,46.6701986,15.7176778,16.0079962,24.7213741
ENSG00000013288.8,MAN2B2,15.847631,14.1751,15.457296,6.723592,7.131444,7.46806
ENSG00000013374.16,NUB1,26.31758444,26.991467,32.7775797,48.033307,43.380435,52.5544629
ENSG00000013375.16,PGM3,56.8961687,58.566431,47.327292,32.4875485,25.6637211,28.8245739
