gene_id,gene_name,mcf7_sicbx2_1,mcf7_sicbx2_2,mcf7_sicbx2_3,mcf7_siscr_1,mcf7_siscr_2,mcf7_siscr_3
ENSG00000002549.12,LAP3,92.2708822,97.2259223,206.04947,51.2205416,44.881715,78.496515
ENSG00000003147.19,ICA1,98.532347,105.653429,94.291318,42.4525438,44.89042846,50.361219
ENSG00000003436.16,TFPI,10.598375,10.388587,7.03457,3.649087,3.877230003,3.707651
ENSG00000004777.18,ARHGAP33,22.66062,18.569911,25.194262,12.531634,13.436615,10.682074
ENSG00000004838.14,ZMYND10,7.9322742,7.461003,6.406869,0.470317,0.2114602,0.047412266
ENSG00000004848.8,ARX,5.61509,8.293635,3.12466,1.432,1.35151,1.43803
ENSG00000004975.12,DVL2,25.106194,27.811801,40.957431,13.06097,13.228573,13.6965471
ENSG00000005108.16,THSD7A,0.058035944,0.067939647,0.064274216,0,0,0
ENSG00000005206.17,SPPL2B,59.952772,73.00062,96.29891,39.724593,37.5126903,47.126467
ENSG00000005243.10,COPZ2,5.062609,4.834448,6.629328,0.4438765,2.096113,1.2686601
ENSG00000006118.14,TMEM132A,360.185774,373.244673,603.923854,203.4579,200.003673,337.22473
ENSG00000006327.13,TNFRSF12A,499.03699,572.64979,443.497606,232.364024,230.23307,195.55099
ENSG00000006712.15,PAF1,82.029667,97.335614,101.020056,46.741493,48.731324,50.807581
ENSG00000006756.16,ARSD,70.615453,75.401157,52.449267,28.3933583,28.147801,29.333439
ENSG00000006757.12,PNPLA4,10.75429,9.318371,11.9089675,6.306509,5.098054,4.962922
ENSG00000007047.15,MARK4,23.8534,22.9728453,49.5774284,18.923303,14.446432,20.148396
ENSG00000007062.11,PROM1,1.151198,1.070196,0.841639,0.0840593,0.08025762,0.2157429
ENSG00000007541.16,PIGQ,99.244672,107.224912,129.924795,40.701052,50.305507,53.704321
ENSG00000008277.14,ADAM22,5.6636911,5.006141,4.328162,1.9975563,2.868636,2.0363536
ENSG00000008300.17,CELSR3,5.345644,6.162735,7.12024,2.661802,3.395245,2.76316
ENSG00000008311.15,AASS,1.552869,2.5368698,0.60089804,0.1777804,0.2314104,0.1789159
ENSG00000008735.14,MAPK8IP2,6.94431,5.85154,18.0329805,1.75016,1.5692,3.21032
ENSG00000009765.14,IYD,1.0801039,2.62593,2.2610239,0.2948886,0.5682895,0.2186663
ENSG00000009830.11,POMT2,71.911903,106.523285,52.273691,21.933205,23.636486,23.339708
ENSG00000010322.16,NISCH,26.081362,29.075908,39.522232,12.771378,11.370849,14.091787
ENSG00000010539.11,ZNF200,11.2581179,11.9668954,13.780702,6.53818261,5.846149,7.5295279
ENSG00000010626.15,LRRC23,10.471771,12.180492,9.652903,1.453916,2.1773707,1.285601
ENSG00000010810.17,FYN,10.754636,13.1002383,21.828226,3.72164229,4.0179013,7.495701931
ENSG00000010932.17,FMO1,0.552477353,1.43592597,1.554855293,0.022145406,0,0.14528
ENSG00000011009.11,LYPLA2,100.291528,120.089947,145.384868,60.477477,69.262905,75.785735
ENSG00000011028.14,AC080038.1,32.553386,36.058958,36.786103,5.150102,5.820934,9.449384
ENSG00000011590.14,ZBTB32,1.3146598,3.932269,1.238361,0.533811,0.2610027,0.453727
ENSG00000012061.15,ERCC1,32.936752,36.452458,38.469252,19.689198,20.222227,20.956876
ENSG00000012822.16,CALCOCO1,27.1011167,38.2889331,46.6701986,15.7176778,16.0079962,24.7213741
ENSG00000013288.8,MAN2B2,15.847631,14.1751,15.457296,6.723592,7.131444,7.46806
ENSG00000013375.16,PGM3,56.8961687,58.566431,47.327292,32.4875485,25.6637211,28.8245739
ENSG00000013392.8,RWDD2A,9.22244,9.71249,8.84409,3.67647,3.33057,4.21579
ENSG00000013563.14,DNASE1L1,88.26479,95.37997,84.77026,29.770984,29.44511,29.823934
ENSG00000014123.10,UFL1,37.067678,41.26817,25.98274,19.28859,16.242372,16.2004
ENSG00000014914.21,MTMR11,26.5657446,27.554951,37.7756853,11.803745,11.6845123,16.9765802
ENSG00000015532.9,XYLT2,24.085575,24.066348,34.06416737,12.766304,13.356511,16.924454
ENSG00000015676.18,NUDCD3,38.688784,50.817933,45.123349,15.042445,17.028549,16.396235
ENSG00000018280.17,SLC11A1,1.283902429,2.009525328,1.682684128,0.3889138,0.433451528,0.730878726
ENSG00000019144.19,PHLDB1,15.715786,17.8636007,22.047286,8.2313166,7.2250126,10.7626399
ENSG00000020426.11,MNAT1,107.38096,102.865965,79.156219,53.09721,45.025208,51.748005
ENSG00000020577.13,SAMD4A,12.7229171,15.482204,11.407142,2.8537541,2.9529167,2.6002257
ENSG00000021300.14,PLEKHB1,27.705338,23.77738616,31.04506626,10.01027619,10.86490702,13.19546564
ENSG00000021762.20,OSBPL5,11.9840243,13.8216008,15.040064,3.0490916,4.127412,3.5046016
ENSG00000024422.12,EHD2,7.276013722,5.994249,3.305540002,1.975887,1.38967,2.559583
ENSG00000025039.14,RRAGD,32.925242,26.6177774,31.5955,13.42508,12.30637,14.90404
ENSG00000025772.8,TOMM34,47.1386,55.0872,46.6313,19.0845,21.1106,20.7823
ENSG00000026025.16,VIM,22.628822,21.957514,17.2056275,3.15216954,3.3156727,2.85413
ENSG00000029364.12,SLC39A9,40.175329,43.855766,40.483958,21.498505,19.6154857,19.68372
ENSG00000029559.7,IBSP,0.91785,1.34371,0.34921,0.159667,0.060959,0.0541071
ENSG00000030110.13,BAK1,76.08456,92.71226,76.37286,32.02479,29.68343,31.797779
ENSG00000030419.16,IKZF2,8.41622706,10.538964,9.325525,5.015334,5.7450929,4.007350988
ENSG00000032742.17,IFT88,30.934165,30.176482,25.534681,9.021748,8.966325,10.4210005
ENSG00000033627.16,ATP6V0A1,24.013375,26.5674568,25.167719,8.5227151,10.07199,11.777083
ENSG00000033867.16,SLC4A7,37.654435,43.7289961,31.33166384,20.03120608,16.27688526,22.3538057
ENSG00000035862.12,TIMP2,79.672238,93.068442,77.76945,22.067341,22.983619,24.835586
ENSG00000037241.7,RPL26L1,130.91142,144.454493,115.23764,50.374195,53.203649,53.05327
